# Internal run number: twoLoop 1948
# All dimensionful quantities in GeV
# Rescaling factor from internal to physical units: 1.51628
# Quantity: interpolated gluon dressing function Z
# Syntax: p^2 [GeV^2], Z
# Cutoff in GeV^2, renormalization constant Z3: 1516281., 1.22381
# Renormalization point 1: 15162.8
# Renormalization value Z at point 1: 1.
# Renormalization point 2: 0.00000151628
# Renormalization value D at point 2: 7.9141
# Lowest/highest calculated points (extrapolated beyond that): 0.00000151628/15162.8
# alpha(mu)=0.05
#
1.516281011402537e-14	1.2e-13
1.561769441744613e-14	1.231e-13
1.592095061972664e-14	1.262e-13
1.63758349231474e-14	1.295e-13
1.6830719226568162e-14	1.328e-13
1.7285603529988924e-14	1.362e-13
1.7588859732269432e-14	1.397e-13
1.8043744035690193e-14	1.433e-13
1.849862833911095e-14	1.47e-13
1.910514074367197e-14	1.507e-13
1.956002504709273e-14	1.546e-13
2.001490935051349e-14	1.586e-13
2.0621421755074505e-14	1.626e-13
2.1076306058495266e-14	1.668e-13
2.168281846305628e-14	1.711e-13
2.213770276647704e-14	1.755e-13
2.2744215171038055e-14	1.8e-13
2.3350727575599072e-14	1.846e-13
2.3957239980160086e-14	1.894e-13
2.45637523847211e-14	1.942e-13
2.5170264789282117e-14	1.992e-13
2.577677719384313e-14	2.043e-13
2.65349176995444e-14	2.096e-13
2.7141430104105418e-14	2.149e-13
2.789957060980668e-14	2.205e-13
2.8506083014367695e-14	2.261e-13
2.926422352006897e-14	2.319e-13
3.0022364025770235e-14	2.379e-13
3.07805045314715e-14	2.44e-13
3.169027313831303e-14	2.502e-13
3.244841364401429e-14	2.567e-13
3.3206554149715564e-14	2.632e-13
3.4116322756557086e-14	2.7e-13
3.502609136339861e-14	2.769e-13
3.593585997024013e-14	2.84e-13
3.6845628577081653e-14	2.913e-13
3.7755397183923176e-14	2.988e-13
3.866516579076469e-14	3.065e-13
3.9726562498746477e-14	3.143e-13
4.078795920672825e-14	3.224e-13
4.184935591471003e-14	3.307e-13
4.29107526226918e-14	3.392e-13
4.3972149330673584e-14	3.479e-13
4.5033546038655356e-14	3.568e-13
4.6246570847777383e-14	3.66e-13
4.745959565689942e-14	3.753e-13
4.867262046602144e-14	3.85e-13
4.988564527514347e-14	3.949e-13
5.1098670084265495e-14	4.05e-13
5.2463322994527785e-14	4.154e-13
5.382797590479007e-14	4.26e-13
5.519262881505235e-14	4.37e-13
5.6557281725314636e-14	4.482e-13
5.807356273671718e-14	4.597e-13
5.958984374811971e-14	4.715e-13
6.110612475952225e-14	4.836e-13
6.262240577092478e-14	4.96e-13
6.429031488346757e-14	5.087e-13
6.595822399601037e-14	5.218e-13
6.762613310855316e-14	5.352e-13
6.929404222109594e-14	5.489e-13
7.111357943477899e-14	5.63e-13
7.293311664846203e-14	5.775e-13
7.490428196328534e-14	5.923e-13
7.672381917696837e-14	6.075e-13
7.869498449179168e-14	6.231e-13
8.081777790775522e-14	6.391e-13
8.278894322257853e-14	6.555e-13
8.491173663854208e-14	6.723e-13
8.718615815564588e-14	6.895e-13
8.930895157160943e-14	7.072e-13
9.158337308871324e-14	7.254e-13
9.40094227069573e-14	7.44e-13
9.643547232520137e-14	7.631e-13
9.886152194344542e-14	7.827e-13
1.0143919966282973e-13	8.028e-13
1.0401687738221406e-13	8.234e-13
1.067461832027386e-13	8.445e-13
1.0947548902326318e-13	8.662e-13
1.1220479484378775e-13	8.884e-13
1.1508572876545257e-13	9.112e-13
1.1811829078825763e-13	9.346e-13
1.2115085281106272e-13	9.586e-13
1.241834148338678e-13	9.832e-13
1.2736760495781312e-13	1.0084e-12
1.307034231828987e-13	1.0343e-12
1.3403924140798428e-13	1.0609e-12
1.375266877342101e-13	1.0881e-12
1.4101413406043596e-13	1.116e-12
1.4465320848780205e-13	1.1446e-12
1.4829228291516814e-13	1.174e-12
1.5208298544367446e-13	1.2042e-12
1.5602531607332105e-13	1.2351e-12
1.6011927480410793e-13	1.2668e-12
1.6421323353489478e-13	1.2993e-12
1.6845882036682187e-13	1.3326e-12
1.7270440719874898e-13	1.3668e-12
1.7710162213181633e-13	1.4019e-12
1.8165046516602394e-13	1.4379e-12
1.8635093630137184e-13	1.4748e-12
1.912030355378599e-13	1.5126e-12
1.9605513477434804e-13	1.5514e-12
2.0105886211197644e-13	1.5913e-12
2.0621421755074505e-13	1.6321e-12
2.1152120109065395e-13	1.674e-12
2.1697981273170306e-13	1.717e-12
2.2259005247389243e-13	1.761e-12
2.282002922160818e-13	1.8062e-12
2.3411378816055175e-13	1.8526e-12
2.400272841050216e-13	1.9001e-12
2.46244036251772e-13	1.9489e-12
2.5261241649966267e-13	1.9989e-12
2.591324248486936e-13	2.0502e-12
2.656524331977245e-13	2.1028e-12
2.7247569774903593e-13	2.1568e-12
2.794505904014876e-13	2.2121e-12
2.8672873925621976e-13	2.2689e-12
2.9400688811095194e-13	2.3272e-12
3.015882931679646e-13	2.3869e-12
3.0932132632611754e-13	2.4481e-12
3.1720598758541076e-13	2.511e-12
3.2539390504698447e-13	2.5754e-12
3.337334506096984e-13	2.6415e-12
3.4237625237469287e-13	2.7093e-12
3.5117068224082757e-13	2.7788e-12
3.6011674020810256e-13	2.8502e-12
3.69366054377658e-13	2.9233e-12
3.78918624749494e-13	2.9983e-12
3.8862282322247023e-13	3.0753e-12
3.9863027789772703e-13	3.1542e-12
4.0878936067412396e-13	3.2352e-12
4.1925169965280147e-13	3.3182e-12
4.3001729483375955e-13	3.4034e-12
4.4108614621699806e-13	3.4907e-12
4.524582538025171e-13	3.5803e-12
